"id";"geohash";"lat";"lon";"descr"
121;"u6dc4nh2";59.2713;15.2111;"Kitchen Supply Store"
122;"sr2yk77p";41.899;12.4958;"Italian Restaurant"
123;"sr2vzye5";41.8283;12.6496;"none"
124;"sr2vzydc";41.828;12.6492;"Plaza"
125;"sr3jb457";41.8036;12.6609;"none"
126;"sr3jb456";41.8034;12.6609;"none"
127;"sr3jb7wv";41.8122;12.6767;"Pool"
128;"sr2yp1pt";41.8424;12.6228;"Sporting Goods Shop"
129;"sr2yp1ms";41.8436;12.62;"Sporting Goods Shop"
130;"sr3jb4cx";41.8084;12.6585;"none"
131;"sr2yk7en";41.9002;12.4958;"Italian Restaurant"
132;"sr2yk7e3";41.8994;12.4961;"Hotel"
133;"sr2yk77n";41.8989;12.4958;"Italian Restaurant"
134;"sr2ykk69";41.9035;12.4951;"Bookstore"
135;"sr2yk7z0";41.9006;12.5012;"Jewelry Store"
